JongName,CurJuka,DungRak,Debi,PrevJuka,Volume,Money,StartJuka,HighJuka,LowJuka,High52,Low52,UpJuka,DownJuka,Per,Amount,FaceJuka
셀바스에이아이,"2,820",3,0,"2,820","131,828","371,926,315","2,870","2,870","2,800","3,955","2,640","3,665","1,975",-8.79,"22,055,945",500
셀바스헬스케어,"1,935",3,0,"1,935","103,581","199,441,395","1,935","1,955","1,895","3,820","1,425","2,515","1,355",-8.1,"21,680,564",500
셀트리온보통주,"314,000",5,"1,000","315,000","691,051","217,943,992,000","315,500","318,500","312,500","329,000","140,000","409,500","220,500",140.43,"134,939,385","1,000"
셀트리온제약,"118,900",5,"1,400","120,300","309,844","37,028,724,900","120,400","121,200","118,600","141,300","29,000","156,300","84,300",493.36,"35,806,792",500
소리바다,381,5,2,383,"992,147","381,311,209",384,397,377,"1,170",350,497,269,-1.78,"95,946,986",500
소프트센,"2,015",5,10,"2,025","351,804","710,383,875","2,020","2,045","1,995","2,780",952,"2,630","1,420",-19.75,"33,575,801",500
소프트캠프,"2,070",3,0,"2,070","700,320","1,442,490,235","2,130","2,130","2,025","2,220","1,000","2,690","1,450",79.62,"24,991,284",100
손오공,"1,605",2,25,"1,580","275,139","435,463,050","1,570","1,605","1,555","2,605","1,015","2,050","1,110",-19.57,"26,896,161",500
솔고바이오메디칼,392,,0,392,0,0,0,0,0,392,139,"999,999,999","-99,999,999",-1.21,"57,759,208",500
솔루에타,"2,770",2,10,"2,760","69,309","189,764,040","2,750","2,780","2,705","3,605","1,245","3,585","1,935",-13.38,"12,980,146",500
솔본,"3,435",2,40,"3,395","77,463","263,975,070","3,375","3,460","3,375","4,660","1,935","4,410","2,380",44.04,"27,345,997",500
솔브레인홀딩스,"64,300",5,"2,600","66,900","480,056","31,390,660,800","68,500","68,800","64,000","108,100","51,300","86,900","46,900",9.65,"9,619,705",500
솔트룩스,"36,250",2,"3,400","32,850","1,005,677","35,966,042,600","33,400","38,300","32,950","34,300","28,000","42,700","23,000",145.58,"5,067,215",500
송원산업보통주,"13,250",2,50,"13,200","171,942","2,298,182,050","13,350","13,600","13,200","19,250","7,200","17,150","9,250",9.15,"24,000,000",500
수산아이앤티,"12,700",2,350,"12,350","350,673","4,306,650,500","12,050","12,700","11,900","12,350","3,900","16,050","8,650",29.53,"6,751,000",500
수산중공업보통주,"1,800",2,80,"1,720","7,476,093","13,574,985,550","1,730","1,890","1,710","2,670",864,"2,235","1,205",600,"53,985,163",500
수성,"1,440",2,15,"1,425","62,222","88,222,780","1,395","1,455","1,355","5,820",785,"1,850","1,000",-3.51,"15,864,490",500
슈펙스비앤피,165,5,4,169,"4,398,626","722,590,320",168,169,162,673,156,219,119,-.46,"130,784,286",500
슈프리마,"31,850",2,200,"31,650","74,195","2,361,896,300","31,650","32,200","31,550","47,150","20,500","41,100","22,200",8.73,"7,193,273",500
슈프리마에이치큐,"5,440",5,150,"5,590","66,446","363,048,870","5,570","5,590","5,420","6,910","2,930","7,260","3,920",6.63,"10,471,840",500
슈피겐코리아,"63,400",5,"1,100","64,500","48,965","3,107,357,000","64,300","64,400","63,100","71,200","28,200","83,800","45,200",9.48,"6,216,363",500
스맥,"1,820",3,0,"1,820","192,698","351,555,980","1,820","1,850","1,810","2,955","1,170","2,365","1,275",-2.7,"29,512,118",500
스카이문스테크놀로지,829,,0,829,0,0,0,0,0,"1,440",691,"1,075",581,-1.16,"17,117,100",500
스킨앤스킨,263,,0,263,0,0,0,0,0,440,256,341,185,-4.87,"139,052,735",100
스타모빌리티,505,,0,505,0,0,0,0,0,"3,465",389,656,354,-.67,"12,071,642",500
스타플렉스,"4,800",5,200,"5,000","315,009","1,518,427,320","5,010","5,030","4,705","9,520","4,150","6,500","3,500",-4.44,"7,690,607",500
스튜디오드래곤 주식회사,"87,000",5,800,"87,800","255,411","22,362,430,400","88,700","88,700","87,000","92,500","57,300","114,100","61,500",92.45,"28,096,370",500
스페코,"5,550",2,170,"5,380","501,063","2,748,490,070","5,390","5,570","5,390","10,000","1,700","6,990","3,770",8.78,"14,655,470",500
승일,"8,540",5,10,"8,550","13,898","118,708,660","8,580","8,590","8,520","14,550","5,300","11,100","5,990",-86.26,"6,132,112",500
시공테크,"5,140",3,0,"5,140","27,012","138,748,730","5,180","5,180","5,100","6,030","3,745","6,680","3,600",6.54,"20,047,970",500
시그네틱스,693,5,5,698,"374,810","258,977,219",691,699,686,"1,215",410,907,489,-2.97,"85,728,319",500
시너지이노베이션,"2,180",5,20,"2,200","419,571","911,026,795","2,215","2,215","2,145","2,345","1,195","2,860","1,540",40.37,"65,725,296",500
시디즈보통주,"56,100",5,"1,200","57,300","6,049","342,878,600","59,000","59,000","55,500","57,400","27,600","74,400","40,200",12.05,"2,000,000",500
시스웍,"2,690",2,15,"2,675","299,436","797,544,070","2,675","2,715","2,610","2,720","1,225","3,475","1,875",24.45,"18,000,000",100
시큐브,"1,835",5,35,"1,870","629,490","1,163,648,355","1,870","1,890","1,820","2,245",664,"2,430","1,310",13.2,"40,000,000",100
시큐센,"25,250",2,250,"25,000","1,358","32,873,900","24,000","25,450","24,000","27,000","6,510","28,750","21,250",,"1,606,076",500
신도기연,"23,300",2,"1,000","22,300","692,270","15,862,283,400","22,400","23,450","21,750","23,000","20,200","28,950","15,650",10.32,"8,061,280",500
신라젠,"12,100",,0,"12,100",0,0,0,0,0,"20,700","8,140","15,700","8,500",-7.56,"71,617,125",500
신성델타테크,"3,830",5,140,"3,970","496,598","1,922,966,590","3,990","4,030","3,800","4,000","1,675","5,160","2,780",14.67,"24,853,343",500
신성이엔지보통주,"1,340",5,25,"1,365","2,580,128","3,453,399,620","1,365","1,375","1,325","1,520",563,"1,770",960,89.33,"184,525,352",500
신세계보통주,"212,000",2,"3,000","209,000","124,588","26,476,943,000","210,000","215,000","210,000","324,000","204,000","271,500","146,500",4.03,"9,845,181","5,000"
신세계아이앤씨 보통주,"128,000",3,0,"128,000","4,292","551,220,500","129,000","130,000","127,500","136,000","74,100","166,000","90,000",19.66,"1,720,000","5,000"
신세계건설,"24,400",5,250,"24,650","38,811","949,960,550","24,650","24,850","24,250","28,150","15,950","32,000","17,300",5.57,"4,000,000","5,000"
신세계인터내셔날보통주,"152,000",2,"5,500","146,500","91,306","13,906,475,500","146,500","156,000","146,500","262,500","145,000","190,000","103,000",14.67,"7,140,000","5,000"
신세계푸드보통주,"55,700",2,"2,300","53,400","31,427","1,723,370,200","54,800","56,300","53,600","79,900","38,700","69,400","37,400",49.56,"3,872,480","5,000"
신송홀딩스보통주,"4,075",2,35,"4,040","61,230","249,797,485","4,040","4,150","3,995","4,885","2,495","5,250","2,830",-1.4,"11,828,858",500
신신제약,"10,100",5,300,"10,400","629,972","6,373,199,720","10,300","10,350","9,980","13,300","4,310","13,500","7,300",71.63,"15,170,500",500
신원종합개발,"5,010",2,250,"4,760","514,776","2,586,859,450","4,800","5,240","4,800","5,310","2,050","6,180","3,335",3.71,"10,068,027","5,000"
